0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C#,Windows application,EF,,,,,,,,,,,,
Microsoft Excel,امور فنی,,,,,,,,,,,,,
PHP,Back-end,HTML,CSS,Bootstrap,,,,,,,,,,
 PHP, Git,MVC,,,,,,,,,,,,
پشتیبانی فنی,Hosting,پشتیبانی,مدیریت سرور,,,,,,,,,,,
Digital Marketing ,تولید محتوا,شبکه های اجتماعی,,,,,,,,,,,,
Jira,ITIL ,agile,,,,,,,,,,,,
woocommerce,PHP,MySQL,jQuery,Javascript,CSS,HTML,,,,,,,,
پشتیبانی فنی,+NETWORK,Troubleshooting,,,,,,,,,,,,
 Front-end,Node.js,ecmascript,express.js,,,,,,,,,,,
 Front-end,CSS,HTML,Javascript,,,,,,,,,,,
,,,,,,,,,,,,,,
طراحی سایت,CSS,HTML,,,,,,,,,,,,
 Front-end,CSS3,HTML5, JavaScript,Responsive,,,,,,,,,,
#C,ASP.Net Mvc Core, OOP,Design Patterns,Entity Framework,Javascript,CSS,HTML,,,,,,,
Delphi,,,,,,,,,,,,,,
Android,Java,REST API,,,,,,,,,,,,
کارآموزی,طراحی سایت,,,,,,,,,,,,,
UI  UX,Sketch,figma,Adobe XD,,,,,,,,,,,
,,,,,,,,,,,,,,
PHP, OOP,Laravel,MySQL,,,,,,,,,,,
IT,.NET, MySQL,Sql Server, SQLite,,,,,,,,,,
ASP.NET Core,.NET Core,Entity Framework,Sql Server,RestFul API,,,,,,,,,,
Android Studio, Xcode,Swift, Objective-C,,,,,,,,,,,
GIS,Databases,PostGis,,,,,,,,,,,,
Sql Server,C#,ASP.NET MVC,Javascript,HTML5,CSS,Bootstrap,,,,,,,,
 Front-end,ES6,Node.js,,,,,,,,,,,,
Sql Server,ASP.NET MVC,,,,,,,,,,,,,
UI,HTML5,CSS3,Javascript,,,,,,,,,,,
TSQL, Scrum,,,,,,,,,,,,,
react native, Front-end,ES6, Git,,,,,,,,,,,
 C++,socket,Threading,,,,,,,,,,,,
Back-end,Django,Flask,SOAP,,,,,,,,,,,
Java,spring,oracle,,,,,,,,,,,,
noc,Troubleshooting,LPIC1,CCNA,شبکه,,,,,,,,,,
Python,Javascript,,,,,,,,,,,,,
.NET,C#,oracle,Sql Server,,,,,,,,,,,
PHP,Laravel,MySQL,Vuejs,JS, SASS,CSS,HTML,MVC,,,,,,
Javascript,C#,Entity Framework,TSQL,jQuery,,,,,,,,,,
HTML,CSS,Javascript,jQuery,Bootstrap,,,,,,,,,,
C#,ASP.NET,webform,,,,,,,,,,,,
ASP.NET MVC,Javascript,Entity Framework,Sql Server,T-SQL,,,,,,,,,,
Wordpress,CSS,PHP,HTML5,CSS3,jQuery,Javascript,MySQL,,,,,,,
Python,speech processing,,,,,,,,,,,,,
,,,,,,,,,,,,,,
C#,ASP.NET, SQL,,,,,,,,,,,,
Android,Kotlin, OOP,SOLID,,,,,,,,,,,
PHP, OOP,RestFul API,,,,,,,,,,,,
ASP.NET Core,Entity Framework,HTML5,MSSQL Server,,,,,,,,,,,
.NET,MVC,ASP.NET,#C,,,,,,,,,,,
کارآموزی,برنامه نویسی وب,,,,,,,,,,,,,
 Front-end,CSS3,Bootstrap,,,,,,,,,,,,
C#,ASP.NET,Web API,Entity Framework,.NET,,,,,,,,,,
,,,,,,,,,,,,,,
Javascript,Python,Full-stack,,,,,,,,,,,,
.NET,ASP.NET,Sql Server,JS,jQuery,HTML,CSS,,,,,,,,
Angular,typescript,ES6,Javascript,,,,,,,,,,,
کارآموزی,DevOps,,,,,,,,,,,,,
 SQL,T-SQL,Sql Server,,,,,,,,,,,,
Back-end,HTML5,jQuery,CSS3,#C,OOP,,,,,,,,,
Wordpress,CSS3,Javascript,CSS,,,,,,,,,,,
Android,REST API,HTTP,Java,,,,,,,,,,,
PHP,Laravel,APIs, AJAX,Node.js,jQuery,CSS3,Bootstrap,,,,,,,
Python,Linux,Back-end,,,,,,,,,,,,
MySQL,PHP,Javascript,jQuery,CSS3,HTML5,,,,,,,,,
CSS,HTML,Angular,Bootstrap,ES6,Javascript,jQuery, SASS,,,,,,,
Java,Spring Boot,jpa,,,,,,,,,,,,
Java,JAVA EE,JSF,spring,,,,,,,,,,,
فروش و بازاریابی,اصول و فنون مذاکره,,,,,,,,,,,,,
HTML,CSS,jQuery,JS, Front-end,,,,,,,,,,
react native,IOS,Android,Responsive,,,,,,,,,,,
Android,Java,native,Android Studio,Android SDK,,,,,,,,,,
PHP,MySQL,SOLID, Git,,,,,,,,,,,
CTO,مدیریت فنی,Back-end, Front-end,,,,,,,,,,,
Wordpress,HTML,CSS,jQuery,Javascript,Bootstrap,,,,,,,,,
REST API,NET Core.,C#,NoSQL,Sql Server,,,,,,,,,,
,,,,,,,,,,,,,,
C#,Javascript, OOP, AJAX, SQL,HTML,ASP.NET MVC,,,,,,,,
Laravel Framework, Git,PHP,MySQL,,,,,,,,,,,
Java,jpa,MySQL,Back-end,,,,,,,,,,,
C#,Back-end,ASP.NET MVC,T-SQL,RestFul API, OOP,jQuery,,,,,,,,
Back-end,RestFul API,Redis,Laravel,MySQL,PHP,,,,,,,,,
UI/UX,Illustrator,Photoshop,Sketch,,,,,,,,,,,
,,,,,,,,,,,,,,
Back-end,.NET,C#,ASP.NET Core,Entity Framework Core, Git,,,,,,,,,
AngularJS,React,,,,,,,,,,,,,
.NET,ASP.NET WebFrom,ASP.NET MVC,Entity Framework,jQuery,Javascript,,,,,,,,,
کارآموزی,برنامه نویسی وب,,,,,,,,,,,,,
#C,WebAPI,MVC,ASP.NET,T-SQL,,,,,,,,,,
Back-end,PHP,Redis,MySQL,MongoDB, Git,,,,,,,,,
تحلیل نرم افزار,Microsoft Word,UML,BPMN2,,,,,,,,,,,
PHP,,,,,,,,,,,,,,
MySQL,PHP,Laravel,jQuery,Javascript,CSS,HTML,,,,,,,,
Java,OOP,Hibernate,jpa,,,,,,,,,,,
کارآموزی,PHP,,,,,,,,,,,,,
PHP,Laravel,Nodejs,Android Studio, Xcode,Swift,,,,,,,,,
Sql Server,T-SQL, OOP,ado.net,Entity Framework,WinForm,C#,,,,,,,,
ASP.NET MVC,#C,Design Patterns, OOP,Entity Framework,Microsoft SQL Server ,Web API,,,,,,,,
پشتیبانی نرم افزار,استقرار نرم افزار,Databases,Microsoft Office , SQL,,,,,,,,,,
PHP,API,MySQL, AJAX,jQuery,Javascript,Bootstrap,CSS3,Responsive Design,,,,,,
کارآموزی,Android,,,,,,,,,,,,,
 Front-end,HTML,Responsive,CSS,Bootstrap,jQuery,,,,,,,,,
تحلیل داده,هوش تجاری,SSIS,Sql Server,,,,,,,,,,,
عکاسی صنعتی,ویرایش عکس,,,,,,,,,,,,,
Linux,Qt,C, C++,,,,,,,,,,,
PHP,Laravel,Javascript,,,,,,,,,,,,
API,SOA,Web Services,CSS,Javascript,,,,,,,,,,
,,,,,,,,,,,,,,
طراحی گرافیک,Photoshop,corel,طراحی لوگو,,,,,,,,,,,
Front-end,CSS,HTML,Javascript,,,,,,,,,,,
PHP,Laravel Framework,MySQL, OOP,MVC,TDD,JS,HTML,,,,,,,
Wordpress,ووکامرس,ماژول نویسی,,,,,,,,,,,,
Android,Android Studio,IOS, Xcode, Git,,,,,,,,,,
PHP,Laravel,MySQL, OOP,MVC,RESTful,API,,,,,,,,
bi, SQL,MySQL,Python, Data Mining,,,,,,,,,,
Java,RESTful, Git,,,,,,,,,,,,
 Scrum,agile,مستندسازی,,,,,,,,,,,,
icdl,عیب یابی,,,,,,,,,,,,,
 Front-end,MVC,Bootstrap,ES6,Redux,React,,,,,,,,,
Wordpress,PHP,CSS,HTML,jQuery,API,,,,,,,,,
CSS,HTML, SASS,Javascript,ReactJS,Framework,Angular,,,,,,,,
react native,HTML,CSS,Angular,Javascript,,,,,,,,,,
.NET,ASP.NET Core,Bootstrap 4,,,,,,,,,,,,
تحلیل سیستم,مستندسازی,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 SEO,GOOGLE ANALYTICS,شبکه های اجتماعی,,,,,,,,,,,,
تولید محتوا,Wordpress,سئو,,,,,,,,,,,,
طراحی گرافیک,Photoshop,Adobe XD,,,,,,,,,,,,
HTML5,Javascript,React.js,REST API, Git,CSS,CSS3,,,,,,,,
 OOP,spring,RESTful,Web Services,Hibernate,jpa,,,,,,,,,
 SEO,GOOGLE ADWORDS,Google Analytics ,Content Marketing,Wordpress,,,,,,,,,,
 Front-end,HTML,HTML5,CSS,CSS3,,,,,,,,,,
Product Owner, Scrum,مستندسازی,,,,,,,,,,,,
Data science, SQL,NoSQL,MongoDB,Javascript,Python,,,,,,,,,
API,Python,PHP,C++,C,SCRUM,Kanban,git,,,,,,,
Java,Android,Android Studio,Android SDK,,,,,,,,,,,
Wordpress,Joomla,HTML5,CSS3,jQuery,Javascript,,,,,,,,,
Back-end,Python,PHP,C,C++,,,,,,,,,,
Javascript,CSS,HTML,ES6,ES7,vue.js,react native,SCSS, SASS, Git,React.js,,,,
,,,,,,,,,,,,,,
شبکه های اجتماعی,Photoshop,طراحی کمپین‌های تبلیغاتی,تولید محتوا,,,,,,,,,,,
Wordpress,Help Desk,,,,,,,,,,,,,
 Front-end,HTML5,CSS3,jQuery,Javascript,,,,,,,,,,
امور فنی,مديريت پروژه چابک,مدیریت فنی,,,,,,,,,,,,
ReactJS,Javascript,ES6,Redux,HTML5,CSS3,,,,,,,,,
Wordpress,Javascript,CSS,HTML,PHP,,,,,,,,,,
Back-end, OOP,ASP.NET Core,Web API, Git,,,,,,,,,,
 Front-end,Node.js,Angular, JavaScript,HTML,CSS, Git,,,,,,,,
 OOP,Android,,,,,,,,,,,,,
Angular,CSS,HTML,typescript,angular 6,,,,,,,,,,
کارآموزی, SEO,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 SEO,SEO On Page,SEO Off Page,GOOGLE ANALYTICS,Content Marketing,Wordpress,,,,,,,,,
Android,IOS,Android Studio,react native,Flutter,,,,,,,,,,
Back-end,Python,Django, OOP,,,,,,,,,,,
IOS,Swift, Objective-C, Xcode,,,,,,,,,,,
Wordpress,PHP,jQuery,Bootstrap, MySQL,RESTful,plugin,,,,,,,,
AngularJS,Javascript,RestFul API,HTML5,CSS3,,,,,,,,,,
Back-end,C#,.NET Core,git,Entity Framework,Design Patterns,Sql Server,,,,,,,,
React,Javascript,ecmascript,Babel,RestFul API,,,,,,,,,,
 Java, OOP,UML,++C,#C,مستندسازی,گزارش نویسی,,,,,,,,
ASP.NET MVC,C#,Entity Framework, SQL,,,,,,,,,,,
Android,Android Studio,Java,REST API,,,,,,,,,,,
Wordpress,Google Analytics ,webmaster,,,,,,,,,,,,
SPA,Angular,ASP.NET MVC,EntityFramework,Sql Server,HTML,CSS,Bootstrap,jQuery, AJAX,,,,,
کارآموزی, Front-end,,,,,,,,,,,,,
پشتیبانی نرم افزار, SQL,Microsoft Office ,ارتباط با مشتریان و پشتیبانی,,,,,,,,,,,
Sql Server,database,DBA,,,,,,,,,,,,
UI  UX,Material Design,Javascript,CSS3,HTML5,,,,,,,,,,
jms,Continuous Deployment,Version Control,Java Core,spring framework,Spring Batch,,,,,,,,,
پشتیبانی نرم افزار,استقرار نرم افزار,Sql Server,,,,,,,,,,,,
 Front-end,HTML5,CSS3,Javascript,Framework,,,,,,,,,,
,,,,,,,,,,,,,,
PHP,MySQL,MVC,Laravel, Git,,,,,,,,,,
Design Patterns,Java, Git,ReactJS,Javascipt,Unit Testing,Hibernate,spring framework,,,,,,,
STM32,Xilinx,,,,,,,,,,,,,
Back-end,MySQL,Laravel Framework, OOP,MVC,RESTful, Git,,,,,,,,
تحلیل گر کسب و کار, Scrum,Visual Paradigm,Enterprise Architect,,,,,,,,,,,
Wordpress,PHP,HTML,CSS,jQuery,,,,,,,,,,
 SQL,پشتیبانی نرم افزار,Microsoft Office ,CRM,,,,,,,,,,,
Linux,C++, Git,,,,,,,,,,,,
CI/CD,DevOps,Python,Jenkins,,,,,,,,,,,
ASP.NET MVC,C#,jQuery,Entity Framework,Javascript,MVC, AJAX,,,,,,,,
Back-end,PHP,MySQL, OOP,Javascript, AJAX, JSON,XML,HTML,CSS, Git,,,,
HTML5,CSS3,Python,,,,,,,,,,,,
استقرار نرم افزار, SQL,Microsoft Office ,,,,,,,,,,,,
پاپ آپ,فرآیند قیمت‌گذاری,ووکامرس,وردپرس,,,,,,,,,,,
,,,,,,,,,,,,,,
استقرار نرم افزار, SQL,Microsoft Office ,,,,,,,,,,,,
Android,SOLID,Object Oriented, OOP,,,,,,,,,,,
Wordpress,PHP,Cpanel,whm,,,,,,,,,,,
UML,C#.Net,Sql Server,jQuery,HTML,bpm,,,,,,,,,
#C,ASP.NET,jQuery,CSS,HTML,Sql Server,MySQL,,,,,,,,
 OOP,Design Patterns,SOLID,C#,Entity Framework,Full-stack,,,,,,,,,
Back-end,Javascript,HTML,CSS,ASP.NET,Python,Bootstrap,MSSQL Server,MVC,,,,,,
PHP, Front-end,Back-end,Wordpress,ووکامرس,,,,,,,,,,
,,,,,,,,,,,,,,
پشتیبانی هاستینگ,Cpanel,plesk,Databases,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,Sql Server,,,,,,,,,,,,
Javascript,React.js,Responsive,ES7,ES6,,,,,,,,,,
Laravel,PHP,MySQL,Databases,MongoDB,Object Oriented,,,,,,,,,
Android, OOP,SOLID,Object Oriented,,,,,,,,,,,
MongoDB,Node.js,Javascript,UI  UX,React,Angular,,,,,,,,,
طراحی سایت,Javascript,jQuery,CSS,PHP,,,,,,,,,,
Javascript,CSS,HTML,Responsive,ReactJS,Bootstrap, Front-end,,,,,,,,
.NET,C#,Web API, ASP.NET MVC,,,,,,,,,,,
PHP, OOP,Laravel,MySQL,CSS3,HTML5, AJAX,jQuery,Javascript,REST API,SOAP, JSON,XML, Git,
scrum mastering,توسعه نرم افزار,SAFE,Less,xp,,,,,,,,,,
Javascript,CSS,HTML,Flutter,AureliaJS,,,,,,,,,,
Back-end,RESTful,Web Services,RPC,API,,,,,,,,,,
Javascript,CSS,HTML, Front-end,,,,,,,,,,,
IOS,UIKIT,Realm, Git,Swift, Objective-C,,,,,,,,,
تست نرم افزار,,,,,,,,,,,,,,
Wordpress,PHP,HTML,jQuery,Responsive,,,,,,,,,,
CSS,HTML,Javascript,Angular,,,,,,,,,,,
استقرار نرم افزار,تست نرم افزار,,,,,,,,,,,,,
 Front-end,Angular 2,SPA,Responsive,,,,,,,,,,,
پایگاه داده, SQL,jQuery,,,,,,,,,,,,
C++,Databases,HTML,Javascript,CSS,,,,,,,,,,
Linux,Bash,Python,PostgreSQL,MySQL,Docker,Nginx,ESX,OpenStack,,,,,,
,,,,,,,,,,,,,,
Bootstrap,HTML,CSS,,,,,,,,,,,,
C++,Javascript,HTML,CSS,,,,,,,,,,,
React,vue.js,Redux,RestFul API, JSON,,,,,,,,,,
توسعه نرم افزار, Software Development,,,,,,,,,,,,,
Java,J2EE,Java Core,spring security,Spring Boot,spring framework,Hibernate,jpa,RabbitMQ,Docker,git,Version Control,,,
IOS, Git, Objective-C, Xcode,,,,,,,,,,,
 Front-end,HTML,CSS,Javascript, SASS,Less,Nodejs,Vuejs,Bootstrap,,,,,,
ASP.NET,C#,Sql Server,Javascript,,,,,,,,,,,
پشتیبانی,پشتیبانی سایت, SEO,GOOGLE ANALYTICS,Photoshop,,,,,,,,,,
#C,ASP.NET,Javascript,jQuery,,,,,,,,,,,
Phyton,PHP,Javascript,,,,,,,,,,,,
Front-end,HTML,CSS, Git,,,,,,,,,,,
magento,PHP, OOP,Javascript, AJAX,CSS,Less,,,,,,,,
Python,HTML,CSS, SQL,MySQL,,,,,,,,,,
,,,,,,,,,,,,,,
 SEO,Google Trends,keyword planner,تولید محتوا,,,,,,,,,,,
Full-stack,Javascript,CSS3,HTML5,PHP,Laravel Framework,Vue JS,,,,,,,,
CSS,HTML,SCSS,Responsive,jQuery,,,,,,,,,,
Java,J2EE,orm,HTML,CSS,,,,,,,,,,
Back-end, LINQ,Entity Framework,MVVM,MVC,Sql Server,,,,,,,,,
PHP,Laravel Framework,HTML,jQuery,CSS,,,,,,,,,,
کارآموزی,Back-end,PHP,,,,,,,,,,,,
,,,,,,,,,,,,,,
 PHP,Laravel,API,MySQL,,,,,,,,,,,
Laravel,PHP,API, MySQL,,,,,,,,,,,
Back-end,MVC,HTML,Laravel,PHP,jQuery,Github,RestFul API, OOP,,,,,,
مدیریت پروژه,Nodejs,Javascript,ES6,ReactJS,Graphql, Git,,,,,,,,
کارآموزی,Full-stack,PHP,Laravel,,,,,,,,,,,
طراح اپلیکیشن موبایل,IOS,Android,,,,,,,,,,,,
prestashop, PHP,CSS,HTML,Javascript,jQuery,,,,,,,,,
Wordpress,MySQL,PHP,Bootstrap,,,,,,,,,,,
UI/UX,jQuery,HTML, SASS,CSS,Responsive,,,,,,,,,
 Front-end,React.js,HTML5,CSS3,Bootstrap,Javascript,,,,,,,,,
MVC,.NET Core,mssql,Javascript,,,,,,,,,,,
Wordpress,کارآموزی,,,,,,,,,,,,,
طراحی رابط کاربری-UI/UX,Sketch,Illustrator,Photoshop,Adobe XD,,,,,,,,,,
 Front-end,Angular,CSS,HTML,RestFul API,,,,,,,,,,
UI  UX,Javascript, CSS,Sketch,Adobe XD,jQuery,,,,,,,,,
Sysadmin, Scrum,agile,,,,,,,,,,,,
امنیت,شبکه,LPIC-1,esxi,OpenStack,,,,,,,,,,
 Front-end,HTML,CSS, SASS,jQuery,Javascript,Responsive,,,,,,,,
 Front-end,ReactJS,React-Native,CSS,RESTful APIs ,,,,,,,,,,
PHP,MVC,Framework,Laravel,MySQL, Git,Redis,,,,,,,,
UI/UX,Flat Design,Responsive Design,,,,,,,,,,,,
Back-end,Node.js,PHP,API,,,,,,,,,,,
PHP,HTML5,CSS3, OOP,MVC,Laravel,,,,,,,,,
PHP,API,MySQL,CMS,Javascript,,,,,,,,,,
,,,,,,,,,,,,,,
Databases,agile, Scrum,,,,,,,,,,,,
.NET,MVC,ASP.NET,WebAPI,,,,,,,,,,,
 WordPress,woocommerce,Responsive Design,Javascript,HTML,jQuery,CSS,,,,,,,,
QML,Qt,WPF,,,,,,,,,,,,
Java,Java Core,jsp,Hibernate,MVC,MySQL,Databases,Troubleshooting,,,,,,,
PHP,git,TDD,MongoDB,RDBMS, OOP,MySQL,Laravel,MVC,,,,,,
,,,,,,,,,,,,,,
 Data Mining,Python, SQL,NoSQL,,,,,,,,,,,
C#,ASP.NET,Entity Framework,Sql Server,,,,,,,,,,,
HTML,CSS,Javascript,Bootstrap,Photoshop,طراحی وب,,,,,,,,,
CSS,HTML,ES6,Vue,React,C#,,,,,,,,,
امور فنی,IT,مديريت پروژه چابک, Git,CI/CD,Docker,,,,,,,,,
پشتیبانی نرم افزار,استقرار نرم افزار,Sql Server,windows server,,,,,,,,,,,
Django,Flask,jQuery,HTML5,CSS,JS,,,,,,,,,
C#,WPF,C++,,,,,,,,,,,,
Javascript,ReactJS,Redux,HTML5,CSS3,,,,,,,,,,
 SQL,NoSQL,Python,Java,,,,,,,,,,,
Data mining,Python, SQL,NoSQL,,,,,,,,,,,
Java,spring,RestFul API,,,,,,,,,,,,
تست نرم افزار,Postman,,,,,,,,,,,,,
 Front-end,ReactJS,Redux,Javascript,ecmascript,React,,,,,,,,,
Android,IOS,Android Studio,Java, OOP,REST API,,,,,,,,,
Back-end Development,Django,API,Object Oriented,NoSQL,MongoDB,,,,,,,,,
ReactJS,Javascript,HTML,CSS,,,,,,,,,,,
HTML5,CSS3,Javascript,Responsive Design,Bootstrap,,,,,,,,,,
UI  UX,Responsive Design,Flat Design,Adobe XD,,,,,,,,,,,
react native,React,Redux,,,,,,,,,,,,
MVC,ASP.NET MVC,#C,Entity Framework,SQL,Bootstrap,Javascript,jQuery,Web API,,,,,,
Back-end,C#,webservice,REST API,SOA,,,,,,,,,,
HTML,CSS,HTML5,CSS3,jQuery,Sql Server,,,,,,,,,
Android,Android Studio,Kotlin, Git,,,,,,,,,,,
,,,,,,,,,,,,,,
Wordpress,Responsive Design,PSD, Front-end,jQuery,CSS,,,,,,,,,
Android Studio,Android SDK,,,,,,,,,,,,,
Back-end,Node.js,Go,MongoDB,,,,,,,,,,,
LAMP, Front-end,Back-end,,,,,,,,,,,,
IOS,Cocoa Touch,Core Data,MVC,MVVM,,,,,,,,,,
Javascript, Front-end,Frameworks,,,,,,,,,,,,
C#,Microservices,MongoDB,Redis,kafka,Back-end,,,,,,,,,
Qt,C,C++,opengl,,,,,,,,,,,
ASP.NET,WCF,windows server,C#,,,,,,,,,,,
Java,core java,Object Oriented,spring framework,,,,,,,,,,,
 AJAX,Javascript,HTML,C#,Object Oriented,Sql Server,,,,,,,,,
liquid,Shopify,Template Engine,HTML5,Css5,,,,,,,,,,
Java,Kotlin,Android,MVVM,MVP, Git,,,,,,,,,
UI  UX,Material Design,Flat Design,,,,,,,,,,,,
Java,Spring Boot,Object Oriented,MySQL,,,,,,,,,,,
,,,,,,,,,,,,,,
VB6, SQL,.NET,,,,,,,,,,,,
Android,Android SDK,Java,Material Design, OOP,,,,,,,,,,
 Front-end,HTML5,CSS3,Javascript,jQuery,React.js,Bootstrap,,,,,,,,
Android,HTML5,Javascript,Bootstrap,,,,,,,,,,,
پایگاه داده,Pl/sql,oracle,,,,,,,,,,,,
JAVA EE,Framework,Spring Boot,oracle,,,,,,,,,,,
,,,,,,,,,,,,,,
Java,Android,Android Studio,Material Design,,,,,,,,,,,
React,Javascript,HTML5,CSS3,,,,,,,,,,,
react native,JS,ES6,Redux, Git,webpack,Babel,,,,,,,,
تست نرم افزار,Pl/sql,Java,,,,,,,,,,,,
React,react native,Redux,,,,,,,,,,,,
برنامه‌نویسی,Java,core java,Hibernate, AJAX,CSS,Javascript,,,,,,,,
react native,Redux, OOP,RestFul API,,,,,,,,,,,
IOS, Git,Swift,,,,,,,,,,,,
Django,Back-end,Design Patterns,,,,,,,,,,,,
Python,Javascript,HTML,Sql Server,Service Oriented,,,,,,,,,,
پشتیبانی نرم افزار,نصب نرم افزار,,,,,,,,,,,,,
Back-end,Laravel, OOP,Web Services,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,Microsoft SQL Server ,,,,,,,,,,,,
PHP,Laravel,MVC,Solid Principles,MySQL,,,,,,,,,,
پشتیبانی نرم افزار,Microsoft Excel,Microsoft Office ,,,,,,,,,,,,
MVC,ASP.NET MVC,.NET Framework ,Javascript,,,,,,,,,,,
IOS,react native,Swift, Git,,,,,,,,,,,
vue.js,CSS,HTML,Javascript,,,,,,,,,,,
Java,Android Studio,Android,JSON,react native,,,,,,,,,,
Asp mvc,MVC,Back-end,,,,,,,,,,,,
Java,Java SE,spring framework,Hibernate,jpa, Git,Maven,,,,,,,,
PHP,Laravel,git,Front-end,,,,,,,,,,,
Javascript,CSS,HTML,jQuery,Angular,JS,Bootstrap,,,,,,,,
Entity Framework,C#,Sql Server,ASP.NET MVC,Web API,ASP.NET,,,,,,,,,
,,,,,,,,,,,,,,
 Scrum,agile,,,,,,,,,,,,,
Java,Spring Boot,,,,,,,,,,,,,
HTML,CSS, JavaScript,jQuery, AJAX,Bootstrap, Git,,,,,,,,
PHP,,,,,,,,,,,,,,
 Front-end,HTML, CSS, Git,Bootstrap,,,,,,,,,,
PHP,Java,Android,,,,,,,,,,,,
,,,,,,,,,,,,,,
.NET,C#, OOP, Git,,,,,,,,,,,
HTML5,CSS,Javascript,PHP,,,,,,,,,,,
UI  UX, SASS,CSS3,HTML,Javascript,Angular 2,,,,,,,,,
PHP,MySQL,Laravel,,,,,,,,,,,,
 Front-end,Javascript,ES6,JSX,Less,CSS3,HTML5,ReactJS,REST API, Git,,,,,
Java,Bootstrap,REST,AOP,jpa,Hibernate,API,RDBMS,Maven,,,,,,
 Git,MongoDB,Graphql,Node.js,CSS,HTML,typescript,,,,,,,,
 Front-end,HTML,CSS,JS,REST,,,,,,,,,,
Java,REST,SOAP,J2EE,,,,,,,,,,,
مدیریت پروژه,استقرار نرم افزار,کنترل و نظارت,ارائه گزارش,pmbok,,,,,,,,,,
Java,RESTful,JUnit, Git,Spring Boot,jpa, SQL,MySQL,,,,,,,
,,,,,,,,,,,,,,
IOS,Auto Layout,Core Data,Swift,,,,,,,,,,,
#C,xamarin,OOP,NET.,HTML,Javascript,,,,,,,,,
Kotlin,Android Studio, JSON,REST,Android,,,,,,,,,,
Android,Android SDK,JUnit, JSON,RPC,REST, Git,,,,,,,,
ASP.NET,#C,RESTful,Design Patterns,,,,,,,,,,,
C#,C++,,,,,,,,,,,,,
Nodejs,Javascript,MVC,,,,,,,,,,,,
Android,Android Studio,MVP,REST API,,,,,,,,,,,
MVC,ASP.NET,WebAPI,mssql,EF,.NET,,,,,,,,,
C#,Redis,Postgres,,,,,,,,,,,,
 Front-end,HTML,CSS,SASS,Node.js,,,,,,,,,,
Python,C++,Linux,,,,,,,,,,,,
,,,,,,,,,,,,,,
Python,Django Framework,,,,,,,,,,,,,
C#,Sql Server,,,,,,,,,,,,,
Wordpress,PSD,REST API,PHP,CSS,jQuery,HTML,woocommerce,,,,,,,
Front-end,Javascript,HTML,CSS,typescript,,,,,,,,,,
Wordpress,jQuery,PHP,Javascript,CSS,HTML,woocommerce,Responsive Design,,,,,,,
 Android Development,Android Studio,Android SDK,Material Design,RestFul API,Java,,,,,,,,,
,,,,,,,,,,,,,,
C#,Javascript,Node.js,,,,,,,,,,,,
تست نرم افزار,مستندسازی,functional,تست non functional,,,,,,,,,,,
تجزیه و تحلیل,تحلیل سیستم, Scrum, OOP,Visual Paradigm,,,,,,,,,,
API,PHP,Wordpress,REST API,,,,,,,,,,,
Laravel,Node.js,MySQL,PHP,,,,,,,,,,,
Java, Git,RestFul API,MongoDB,,,,,,,,,,,
 Front-end,HTML5,CSS3,ES6,JS, SASS,,,,,,,,,
پشتیبانی نرم افزار, SQL,عیب یابی,پاسخگویی به مشتریان,,,,,,,,,,,
Android,Java,Android Studio, Scrum,,,,,,,,,,,
PHP,Python,Wordpress, Git,Node.js,,,,,,,,,,
React,Javascript,CSS,Bootstrap,HTML,,,,,,,,,,
ASP.NET,MVC,SQL,.NET Core,NoSQL,Web API,,,,,,,,,
google webmaster, SEO,HTML,CSS,PHP,,,,,,,,,,
ETL,Sql Server,OLAP,KPI,T-SQL,Python,Pandas,numpy,SSAS,SSIS,Power BI,,,,
Front-end Development,ES5,Grunt,Gulp,webpack,Version Control,,,,,,,,,
,,,,,,,,,,,,,,
HTML,CSS, SASS,Javascript,jQuery,,,,,,,,,,
 Front-end,HTML,CSS,Javascript,Bootstrap,Responsive,Vuejs,ReactJS,,,,,,,
 Front-end,CSS,HTML,jQuery,Javascript,Vuejs,React,Angular,Object Oriented,,,,,,
Android,RestFul API, JSON,Material Design,,,,,,,,,,,
Android,RestFul API,Android Studio,Java,,,,,,,,,,,
Back-end,.NET Core,CSS,jQuery,Javascript,HTML,,,,,,,,,
Wordpress,PHP,,,,,,,,,,,,,
 Front-end,HTML5,CSS3,Bootstrap,jQuery,Javascript,,,,,,,,,
 Front-end,UI/UX,,,,,,,,,,,,,
 Front-end,CSS3,HTML,React,Javascript,,,,,,,,,,
Back-end,Laravel Framework, OOP,SQLSERVER,Web API,,,,,,,,,,
IOS, Xcode,Swift,Auto Layout, JSON,,,,,,,,,,
Wordpress,Photoshop,مدیریت سایت,,,,,,,,,,,,
کارآموزی,C#,,,,,,,,,,,,,
 Front-end,Angular,Javascript,HTML5,CSS3,Responsive Web Design,,,,,,,,,
Node.js,,,,,,,,,,,,,,
PHP,Laravel,API,MySQL,Web Services,,,,,,,,,,
Wordpress,,,,,,,,,,,,,,
Python,,,,,,,,,,,,,,
