0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
BPMN,UML,visio,طراحی نرم افزار,تحلیل و طراحی نرم‌افزار,,,,,,,,,,
PHP,Laravel,Linux,C++,yii2,#C,,,,,,,,,
react native,Redux,webpack,,,,,,,,,,,,
bi,SSIS,ETL,SSAS,,,,,,,,,,,
PHP,MVC,CSS,Javascript,,,,,,,,,,,
پشتیبانی,پشتیبانی نرم افزار,Microsoft SQL Server ,,,,,,,,,,,,
yii2,,,,,,,,,,,,,,
HTML,CSS,jQuery, SASS,Javascript,Vuejs,Vue, Git,,,,,,,
Python,Django Framework, OOP,,,,,,,,,,,,
React,ES6,Javascript, Git,Redux,,,,,,,,,,
NET Core.,Sql Server,Web API,Angular,,,,,,,,,,,
,,,,,,,,,,,,,,
Python,Back-end,Django,HTTP,,,,,,,,,,,
Back-end,Nodejs,REST API,Javascript,,,,,,,,,,,
Data Analysis, SQL,agile,,,,,,,,,,,,
تولید محتوا,اصول نگارشی , SEO,,,,,,,,,,,,
PHP,Wordpress,Dropal,CSS,,,,,,,,,,,
Java,Java Core,RESTful APIs ,HTML,CSS,Javascript,,,,,,,,,
PHP,jQuery,Javascript,Entity Framework,Databases, OOP,,,,,,,,,
.NET,mssql,RestFul API,,,,,,,,,,,,
Copywriting,تولید محتوا,اصول نگارشی ,Microsoft Excel,,,,,,,,,,,
Back-end,Node.js,MongoDB, Git,MVC,,,,,,,,,,
Unity,C#,API,,,,,,,,,,,,
DevOps,MongoDB,Redis, Git,Cassandra,,,,,,,,,,
.NET,Java,SOAP,CSS,HTML, JavaScript,,,,,,,,,
Golang,MongoDB,Databases,,,,,,,,,,,,
,,,,,,,,,,,,,,
DevOps,kubernetes,Gitlab,Monitoring,,,,,,,,,,,
 AJAX,jQuery,Bootstrap,CSS3,HTML5,Javascript,React,,,,,,,,
Python,Back-end,,,,,,,,,,,,,
Qt,,,,,,,,,,,,,,
Back-end,C#, OOP,OOD,Web API,,,,,,,,,,
HTML5,CSS3,Bootstrap,Javascript,PHP,Full-stack,,,,,,,,,
Back-end,PHP,Laravel,MySQL,,,,,,,,,,,
Laravel,PHP,MySQL,CSS3,RestFul API,,,,,,,,,,
NET Core.,Sql Server,,,,,,,,,,,,,
UI  UX,RestFul API,git, Scrum,Unit Testing,HTML5,CSS3,,,,,,,,
UI/UX,HTML5,CSS3,Javascript,jQuery,,,,,,,,,,
تست نفوذ,نرم افزار تست نفوذ وب,,,,,,,,,,,,,
Android,Java,Android SDK,RestFul API, JSON,,,,,,,,,,
Laravel,Javascript,Vuejs,Nodejs,CSS,,,,,,,,,,
CSS,HTML,Javascript, JSON,REST,,,,,,,,,,
Wordpress,PHP,plugin,jQuery,CSS,HTML,MySQL,,,,,,,,
,,,,,,,,,,,,,,
HTML,CSS, CSS3,طراحی سایت,,,,,,,,,,,
PHP,Laravel,Framework,MySQL, Git,Version Control,,,,,,,,,
Java,JSF,Hibernate, AJAX,Web Services,jsp,agile,spring framework,,,,,,,
Android,IOS,تست نفوذ,,,,,,,,,,,,
تست نفوذ,Linux,,,,,,,,,,,,,
CSS3,Javascript,HTML, Front-end,,,,,,,,,,,
کارآموزی, SEO,,,,,,,,,,,,,
